,Imagem,FEX-esperada,FEX-detectada
280,3738,angry,angry
281,3753,angry,angry
282,3757,angry,angry
283,3765,angry,angry
284,3792,angry,angry
285,3805,angry,neutral
286,380,angry,angry
287,3811,angry,angry
288,3813,angry,sad
289,3818,angry,angry
290,3821,angry,angry
291,3825,angry,angry
292,3830,angry,angry
293,3833,angry,angry
294,383,angry,angry
295,3847,angry,angry
296,3858,angry,angry
297,386,angry,disgust
298,3871,angry,angry
299,3880,angry,neutral
300,3882,angry,fear
301,3885,angry,angry
302,3890,angry,angry
303,3904,angry,neutral
304,3913,angry,fear
305,3926,angry,angry
306,3930,angry,neutral
307,3934,angry,angry
308,3953,angry,angry
309,3955,angry,neutral
310,3986,angry,sad
311,3991,angry,angry
312,4007,angry,neutral
313,4014,angry,angry
314,4015,angry,disgust
315,4028,angry,angry
316,4029,angry,angry
317,4033,angry,sad
318,4058,angry,angry
319,4067,angry,disgust
320,4072,angry,angry
321,407,angry,sad
322,4081,angry,neutral
323,4099,angry,angry
324,4100,angry,angry
325,4115,angry,angry
326,4122,angry,angry
327,4127,angry,angry
328,412,angry,angry
329,4142,angry,angry
330,415,angry,angry
331,4164,angry,angry
332,4171,angry,angry
333,4180,angry,angry
334,4209,angry,disgust
335,4211,angry,neutral
336,4214,angry,neutral
337,4218,angry,neutral
338,4229,angry,neutral
339,4237,angry,angry
340,423,angry,disgust
341,4243,angry,angry
342,4264,angry,angry
343,4270,angry,angry
344,4275,angry,angry
345,4282,angry,angry
346,4285,angry,angry
347,4289,angry,angry
348,4291,angry,happy
349,4297,angry,angry
350,4302,angry,neutral
351,4380,angry,happy
352,4381,angry,angry
353,4396,angry,angry
354,4399,angry,angry
355,4402,angry,disgust
356,4403,angry,neutral
357,4405,angry,angry
358,4415,angry,angry
359,4420,angry,neutral
360,4422,angry,disgust
361,4429,angry,angry
362,4432,angry,angry
363,4482,angry,neutral
364,4486,angry,angry
365,4487,angry,disgust
366,4507,angry,neutral
367,4513,angry,angry
368,4521,angry,sad
369,453,angry,angry
370,4541,angry,surprise
371,4552,angry,angry
372,4557,angry,neutral
373,4580,angry,angry
374,4633,angry,angry
375,4644,angry,fear
376,4651,angry,angry
377,4664,angry,fear
378,4676,angry,angry
379,4699,angry,angry
380,4729,angry,happy
381,4779,angry,angry
382,4788,angry,neutral
383,4794,angry,disgust
384,47,angry,angry
385,4806,angry,angry
386,4813,angry,angry
387,4816,angry,angry
388,4840,angry,sad
389,4842,angry,neutral
390,4849,angry,neutral
391,4890,angry,angry
392,4896,angry,angry
393,4898,angry,angry
394,4899,angry,angry
395,4901,angry,angry
396,4902,angry,angry
397,4915,angry,angry
398,4938,angry,angry
399,4958,angry,angry
400,4969,angry,angry
401,4973,angry,angry
402,5019,angry,angry
403,5025,angry,angry
404,502,angry,angry
405,5033,angry,neutral
406,5044,angry,neutral
407,5047,angry,fear
408,5050,angry,surprise
409,5067,angry,neutral
410,506,angry,neutral
411,5080,angry,angry
412,5082,angry,angry
413,5096,angry,angry
414,5097,angry,angry
415,5101,angry,angry
416,5107,angry,angry
417,5109,angry,disgust
418,5119,angry,neutral
419,5120,angry,neutral
420,5123,angry,happy
421,5151,angry,angry
422,5169,angry,angry
423,5182,angry,angry
424,5191,angry,disgust
425,519,angry,angry
426,5202,angry,angry
427,5210,angry,disgust
428,5219,angry,angry
429,5221,angry,angry
430,5230,angry,sad
431,527,angry,neutral
432,5316,angry,angry
433,532,angry,angry
434,5347,angry,sad
435,5351,angry,angry
436,5356,angry,angry
437,5363,angry,neutral
438,5364,angry,angry
439,536,angry,angry
440,5372,angry,angry
441,5373,angry,disgust
442,5384,angry,angry
443,5408,angry,angry
444,541,angry,angry
445,542,angry,surprise
446,5434,angry,neutral
447,5441,angry,angry
448,5465,angry,angry
449,5490,angry,disgust
450,5492,angry,angry
451,549,angry,disgust
452,559,angry,neutral
453,569,angry,angry
454,576,angry,surprise
455,588,angry,angry
456,592,angry,angry
457,599,angry,surprise
458,608,angry,angry
459,61,angry,angry
460,628,angry,angry
461,644,angry,neutral
462,650,angry,angry
463,654,angry,angry
464,655,angry,neutral
465,690,angry,neutral
466,708,angry,sad
467,715,angry,surprise
468,718,angry,sad
469,727,angry,neutral
470,739,angry,neutral
471,740,angry,angry
472,747,angry,neutral
473,766,angry,neutral
474,804,angry,angry
475,807,angry,neutral
476,810,angry,angry
477,830,angry,neutral
478,846,angry,angry
479,852,angry,angry
480,859,angry,angry
481,864,angry,angry
482,870,angry,neutral
483,873,angry,angry
484,882,angry,disgust
485,886,angry,angry
486,890,angry,angry
487,8,angry,angry
488,901,angry,angry
489,919,angry,angry
490,921,angry,neutral
491,929,angry,angry
492,940,angry,angry
493,946,angry,angry
494,963,angry,disgust
495,966,angry,neutral
496,967,angry,angry
497,975,angry,angry
498,980,angry,angry
499,996,angry,angry
500,1003,disgust,angry
501,1018,disgust,fear
502,1062,disgust,angry
503,1071,disgust,disgust
504,1130,disgust,angry
505,1153,disgust,happy
506,1168,disgust,disgust
507,1183,disgust,disgust
508,1190,disgust,disgust
509,1194,disgust,surprise
510,1210,disgust,disgust
511,1211,disgust,neutral
512,1212,disgust,angry
513,1215,disgust,disgust
514,1223,disgust,happy
515,1241,disgust,happy
516,1247,disgust,sad
517,1253,disgust,disgust
518,1260,disgust,disgust
519,1262,disgust,sad
520,1273,disgust,disgust
521,1274,disgust,angry
522,1278,disgust,disgust
523,1283,disgust,disgust
524,1290,disgust,sad
525,1312,disgust,neutral
526,1313,disgust,happy
527,1317,disgust,angry
528,131,disgust,angry
529,1324,disgust,disgust
530,1355,disgust,angry
531,1368,disgust,disgust
532,1372,disgust,angry
533,1377,disgust,disgust
534,1396,disgust,sad
535,1397,disgust,disgust
536,142,disgust,happy
537,1444,disgust,sad
538,144,disgust,disgust
539,1457,disgust,angry
540,145,disgust,angry
541,1473,disgust,disgust
542,1487,disgust,disgust
543,148,disgust,surprise
544,1494,disgust,disgust
545,1498,disgust,disgust
546,1499,disgust,neutral
547,1511,disgust,sad
548,1534,disgust,neutral
549,1546,disgust,neutral
550,1552,disgust,neutral
551,1555,disgust,angry
552,1571,disgust,disgust
553,1584,disgust,sad
554,1592,disgust,disgust
555,1615,disgust,angry
556,1616,disgust,angry
557,1654,disgust,disgust
558,166,disgust,neutral
559,1670,disgust,neutral
560,1690,disgust,disgust
561,1702,disgust,disgust
562,1705,disgust,disgust
563,1713,disgust,neutral
564,1755,disgust,angry
565,1766,disgust,angry
566,1785,disgust,surprise
567,178,disgust,surprise
568,1795,disgust,angry
569,1796,disgust,surprise
570,1799,disgust,disgust
571,1805,disgust,neutral
572,1818,disgust,disgust
573,1822,disgust,happy
574,183,disgust,angry
575,1853,disgust,disgust
576,1882,disgust,disgust
577,1915,disgust,disgust
578,1926,disgust,surprise
579,1930,disgust,neutral
580,1951,disgust,sad
581,1957,disgust,sad
582,1966,disgust,angry
583,1969,disgust,disgust
584,2002,disgust,neutral
585,2016,disgust,surprise
586,2018,disgust,disgust
587,2024,disgust,angry
588,2029,disgust,sad
589,2030,disgust,angry
590,2035,disgust,disgust
591,2038,disgust,angry
592,2040,disgust,happy
593,2043,disgust,disgust
594,2050,disgust,surprise
595,2052,disgust,disgust
596,206,disgust,happy
597,2074,disgust,angry
598,2084,disgust,angry
599,2107,disgust,disgust
600,2118,disgust,angry
601,2120,disgust,happy
602,2123,disgust,sad
603,2128,disgust,sad
604,2129,disgust,disgust
605,2146,disgust,disgust
606,2150,disgust,disgust
607,2151,disgust,neutral
608,2162,disgust,neutral
609,2165,disgust,angry
610,2176,disgust,angry
611,2186,disgust,disgust
612,2190,disgust,disgust
613,2211,disgust,disgust
614,2215,disgust,disgust
615,2231,disgust,disgust
616,2244,disgust,angry
617,2251,disgust,disgust
618,2289,disgust,neutral
619,2307,disgust,disgust
620,2321,disgust,disgust
621,2324,disgust,disgust
622,2325,disgust,disgust
623,2341,disgust,disgust
624,2369,disgust,neutral
625,2371,disgust,angry
626,238,disgust,angry
627,2395,disgust,disgust
628,2411,disgust,disgust
629,2423,disgust,angry
630,2444,disgust,neutral
631,2461,disgust,disgust
632,2464,disgust,neutral
633,246,disgust,neutral
634,2485,disgust,sad
635,2488,disgust,disgust
636,2491,disgust,neutral
637,2501,disgust,disgust
638,2503,disgust,happy
639,2519,disgust,disgust
640,2524,disgust,disgust
641,2528,disgust,disgust
642,2531,disgust,angry
643,2545,disgust,fear
644,2552,disgust,disgust
645,2569,disgust,disgust
646,2590,disgust,neutral
647,2602,disgust,happy
648,2623,disgust,angry
649,2635,disgust,disgust
650,2644,disgust,angry
651,2655,disgust,angry
652,2667,disgust,fear
653,2677,disgust,disgust
654,2700,disgust,disgust
655,2710,disgust,sad
656,2722,disgust,angry
657,2725,disgust,disgust
658,2727,disgust,sad
659,2728,disgust,neutral
660,2736,disgust,surprise
661,2739,disgust,disgust
662,2743,disgust,angry
663,2751,disgust,disgust
664,2770,disgust,angry
665,2773,disgust,disgust
666,2795,disgust,disgust
667,2800,disgust,angry
668,2802,disgust,angry
669,2814,disgust,surprise
670,2817,disgust,angry
671,2820,disgust,sad
672,2846,disgust,angry
673,2854,disgust,disgust
674,2867,disgust,disgust
675,2869,disgust,happy
676,286,disgust,neutral
677,2877,disgust,disgust
678,2878,disgust,disgust
679,2880,disgust,angry
680,2882,disgust,disgust
681,289,disgust,disgust
682,2910,disgust,neutral
683,2919,disgust,disgust
684,2923,disgust,disgust
685,2925,disgust,angry
686,2952,disgust,disgust
687,2954,disgust,angry
688,295,disgust,neutral
689,2963,disgust,sad
690,2973,disgust,angry
691,2979,disgust,disgust
692,2992,disgust,angry
693,2993,disgust,angry
694,3005,disgust,disgust
695,300,disgust,disgust
696,3015,disgust,disgust
697,3021,disgust,surprise
698,3025,disgust,angry
699,303,disgust,angry
700,305,disgust,angry
701,3074,disgust,angry
702,307,disgust,neutral
703,3081,disgust,disgust
704,3094,disgust,disgust
705,309,disgust,disgust
706,3110,disgust,disgust
707,3119,disgust,disgust
708,3124,disgust,sad
709,3126,disgust,angry
710,314,disgust,disgust
711,3153,disgust,angry
712,3160,disgust,angry
713,3170,disgust,disgust
714,318,disgust,angry
715,3232,disgust,disgust
716,3239,disgust,angry
717,3242,disgust,fear
718,3243,disgust,neutral
719,3248,disgust,disgust
720,3255,disgust,disgust
721,3263,disgust,disgust
722,3271,disgust,disgust
723,3272,disgust,disgust
724,3284,disgust,neutral
725,328,disgust,surprise
726,3311,disgust,disgust
727,3323,disgust,disgust
728,3334,disgust,disgust
729,3344,disgust,disgust
730,3355,disgust,disgust
731,3368,disgust,angry
732,3378,disgust,disgust
733,3382,disgust,disgust
734,338,disgust,disgust
735,3393,disgust,disgust
736,3402,disgust,happy
737,3414,disgust,disgust
738,3415,disgust,angry
739,3455,disgust,happy
740,3458,disgust,neutral
741,3489,disgust,fear
742,3497,disgust,neutral
743,3535,disgust,disgust
744,353,disgust,neutral
745,3541,disgust,sad
746,3551,disgust,disgust
747,3555,disgust,angry
748,355,disgust,disgust
749,3567,disgust,disgust
750,3570,disgust,neutral
751,3576,disgust,sad
752,3578,disgust,angry
753,3579,disgust,angry
754,3587,disgust,disgust
755,363,disgust,surprise
756,3658,disgust,disgust
757,3664,disgust,angry
758,366,disgust,disgust
759,3673,disgust,disgust
760,3675,disgust,fear
761,3676,disgust,angry
762,3682,disgust,disgust
763,3684,disgust,disgust
764,3702,disgust,angry
765,3707,disgust,sad
766,370,disgust,angry
767,3713,disgust,disgust
768,3715,disgust,disgust
769,3725,disgust,sad
770,372,disgust,fear
771,373,disgust,disgust
772,3741,disgust,angry
773,3754,disgust,disgust
774,3758,disgust,sad
775,3762,disgust,disgust
776,3769,disgust,angry
777,3814,disgust,disgust
778,381,disgust,angry
779,3822,disgust,disgust
780,3835,disgust,disgust
781,3867,disgust,disgust
782,3873,disgust,disgust
783,3879,disgust,happy
784,3884,disgust,angry
785,389,disgust,neutral
786,38,disgust,fear
787,3902,disgust,angry
788,3917,disgust,disgust
789,3933,disgust,sad
790,3939,disgust,angry
791,3940,disgust,disgust
792,3964,disgust,disgust
793,398,disgust,neutral
794,399,disgust,angry
795,4001,disgust,angry
796,4035,disgust,surprise
797,4043,disgust,disgust
798,4054,disgust,neutral
799,4068,disgust,disgust
800,406,disgust,sad
801,4074,disgust,happy
802,4075,disgust,happy
803,4076,disgust,disgust
804,4084,disgust,disgust
805,4106,disgust,disgust
806,4111,disgust,disgust
807,4112,disgust,neutral
808,4120,disgust,sad
809,4123,disgust,disgust
810,4128,disgust,disgust
811,4132,disgust,disgust
812,4151,disgust,disgust
813,4158,disgust,disgust
814,4161,disgust,happy
815,4170,disgust,sad
816,4179,disgust,disgust
817,4185,disgust,disgust
818,4191,disgust,disgust
819,4204,disgust,disgust
820,420,disgust,disgust
821,4219,disgust,disgust
822,424,disgust,angry
823,4256,disgust,neutral
824,4261,disgust,disgust
825,4268,disgust,sad
826,4269,disgust,angry
827,429,disgust,disgust
828,4306,disgust,sad
829,4314,disgust,happy
830,4315,disgust,disgust
831,4340,disgust,disgust
832,434,disgust,happy
833,4361,disgust,disgust
834,4367,disgust,disgust
835,4371,disgust,happy
836,4383,disgust,angry
837,4387,disgust,angry
838,4388,disgust,sad
839,4427,disgust,sad
840,4435,disgust,disgust
841,4444,disgust,neutral
842,4450,disgust,disgust
843,4453,disgust,disgust
844,4460,disgust,angry
845,4473,disgust,angry
846,4478,disgust,disgust
847,4483,disgust,sad
848,4489,disgust,neutral
849,4492,disgust,surprise
850,4499,disgust,disgust
851,4504,disgust,disgust
852,451,disgust,disgust
853,4523,disgust,happy
854,4534,disgust,disgust
855,4538,disgust,surprise
856,4548,disgust,disgust
857,455,disgust,disgust
858,4569,disgust,disgust
859,4577,disgust,angry
860,459,disgust,disgust
861,4642,disgust,disgust
862,4663,disgust,angry
863,4665,disgust,disgust
864,466,disgust,fear
865,467,disgust,surprise
866,4685,disgust,disgust
867,468,disgust,happy
868,469,disgust,disgust
869,4727,disgust,disgust
870,4728,disgust,sad
871,4734,disgust,disgust
872,474,disgust,angry
873,4755,disgust,disgust
874,4757,disgust,angry
875,4767,disgust,disgust
876,4772,disgust,disgust
877,4815,disgust,disgust
878,4823,disgust,happy
879,4825,disgust,disgust
880,4827,disgust,angry
881,4853,disgust,sad
882,4860,disgust,angry
883,4864,disgust,sad
884,4872,disgust,disgust
885,4879,disgust,disgust
886,4880,disgust,disgust
887,4882,disgust,disgust
888,4883,disgust,disgust
889,4910,disgust,angry
890,4931,disgust,happy
891,4946,disgust,surprise
892,4951,disgust,disgust
893,4957,disgust,angry
894,4963,disgust,sad
895,4979,disgust,angry
896,497,disgust,neutral
897,4994,disgust,disgust
898,5002,disgust,sad
899,5004,disgust,disgust
900,5009,disgust,sad
901,5017,disgust,angry
902,5020,disgust,disgust
903,5024,disgust,disgust
904,5038,disgust,angry
905,5042,disgust,neutral
906,5069,disgust,sad
907,5081,disgust,angry
908,5083,disgust,sad
909,508,disgust,disgust
910,510,disgust,angry
911,5136,disgust,fear
912,5143,disgust,sad
913,5154,disgust,disgust
914,5156,disgust,disgust
915,5157,disgust,angry
916,5172,disgust,surprise
917,5173,disgust,disgust
918,5186,disgust,disgust
919,5200,disgust,disgust
920,5227,disgust,disgust
921,5244,disgust,disgust
922,5255,disgust,disgust
923,5266,disgust,angry
924,5274,disgust,disgust
925,5297,disgust,disgust
926,530,disgust,disgust
927,5332,disgust,sad
928,5336,disgust,disgust
929,5343,disgust,sad
930,5349,disgust,surprise
931,5354,disgust,disgust
932,5365,disgust,disgust
933,5367,disgust,disgust
934,5371,disgust,disgust
935,5374,disgust,angry
936,5385,disgust,angry
937,5393,disgust,disgust
938,539,disgust,angry
939,5406,disgust,neutral
940,5425,disgust,surprise
941,5426,disgust,neutral
942,5437,disgust,disgust
943,5442,disgust,fear
944,5456,disgust,angry
945,5457,disgust,angry
946,5468,disgust,disgust
947,5474,disgust,angry
948,5479,disgust,disgust
949,5483,disgust,angry
950,5486,disgust,disgust
951,5487,disgust,fear
952,560,disgust,disgust
953,568,disgust,disgust
954,579,disgust,neutral
955,591,disgust,disgust
956,601,disgust,angry
957,617,disgust,disgust
958,618,disgust,angry
959,626,disgust,neutral
960,642,disgust,disgust
961,64,disgust,angry
962,65,disgust,happy
963,666,disgust,disgust
964,685,disgust,angry
965,700,disgust,disgust
966,702,disgust,disgust
967,70,disgust,disgust
968,712,disgust,neutral
969,733,disgust,disgust
970,73,disgust,surprise
971,748,disgust,happy
972,752,disgust,angry
973,758,disgust,angry
974,776,disgust,disgust
975,786,disgust,disgust
976,787,disgust,angry
977,789,disgust,fear
978,792,disgust,disgust
979,798,disgust,sad
980,7,disgust,disgust
981,814,disgust,angry
982,818,disgust,happy
983,825,disgust,angry
984,837,disgust,disgust
985,845,disgust,neutral
986,854,disgust,angry
987,861,disgust,neutral
988,885,disgust,angry
989,899,disgust,disgust
990,902,disgust,angry
991,907,disgust,fear
992,931,disgust,disgust
993,944,disgust,neutral
994,950,disgust,neutral
995,959,disgust,angry
996,962,disgust,disgust
997,976,disgust,angry
998,977,disgust,happy
999,992,disgust,angry
1000,1002,fear,fear
1001,1011,fear,fear
1002,1021,fear,angry
1003,1030,fear,disgust
1004,1033,fear,angry
1005,1037,fear,fear
1006,1048,fear,surprise
1007,1060,fear,fear
1008,1092,fear,angry
1009,1115,fear,fear
1010,1116,fear,surprise
1011,113,fear,surprise
1012,1143,fear,fear
1013,1144,fear,neutral
1014,1145,fear,neutral
1015,1151,fear,angry
1016,1152,fear,neutral
1017,1157,fear,fear
1018,1165,fear,surprise
1019,1170,fear,angry
1020,1172,fear,disgust
1021,1174,fear,fear
1022,1176,fear,fear
1023,1193,fear,disgust
1024,1204,fear,fear
1025,1209,fear,fear
1026,121,fear,surprise
1027,1256,fear,neutral
1028,1268,fear,sad
1029,1269,fear,neutral
1030,1294,fear,fear
1031,1306,fear,fear
1032,1307,fear,sad
1033,1308,fear,neutral
1034,1351,fear,fear
1035,1352,fear,fear
1036,1363,fear,fear
1037,1376,fear,disgust
1038,1387,fear,fear
1039,1403,fear,fear
1040,1419,fear,sad
1041,1430,fear,fear
1042,1439,fear,neutral
1043,1442,fear,sad
1044,1445,fear,surprise
1045,1449,fear,angry
1046,1453,fear,surprise
1047,1463,fear,fear
1048,1465,fear,surprise
1049,1478,fear,sad
1050,1486,fear,neutral
1051,1496,fear,fear
1052,1500,fear,surprise
1053,1507,fear,angry
1054,1515,fear,angry
1055,1520,fear,neutral
1056,1529,fear,fear
1057,1535,fear,fear
1058,1557,fear,surprise
1059,155,fear,fear
1060,1586,fear,fear
1061,1588,fear,surprise
1062,1595,fear,sad
1063,1598,fear,fear
1064,1622,fear,sad
1065,162,fear,fear
1066,1631,fear,neutral
1067,1641,fear,surprise
1068,1649,fear,surprise
1069,1657,fear,fear
1070,1659,fear,fear
1071,1687,fear,angry
1072,1699,fear,sad
1073,1704,fear,disgust
1074,1720,fear,surprise
1075,1746,fear,fear
1076,174,fear,neutral
1077,175,fear,fear
1078,1762,fear,sad
1079,1763,fear,surprise
1080,1772,fear,angry
1081,177,fear,sad
1082,1780,fear,fear
1083,1787,fear,fear
1084,1794,fear,disgust
1085,1798,fear,disgust
1086,17,fear,fear
1087,1809,fear,surprise
1088,181,fear,surprise
1089,1826,fear,fear
1090,1833,fear,fear
1091,1834,fear,sad
1092,1840,fear,fear
1093,1841,fear,sad
1094,1845,fear,surprise
1095,1847,fear,neutral
1096,1854,fear,fear
1097,1897,fear,happy
1098,1942,fear,fear
1099,1943,fear,fear
1100,1947,fear,disgust
1101,1956,fear,neutral
1102,1964,fear,neutral
1103,196,fear,surprise
1104,1985,fear,sad
1105,198,fear,fear
1106,1991,fear,fear
1107,2004,fear,fear
1108,2005,fear,fear
1109,2007,fear,fear
1110,204,fear,fear
1111,205,fear,fear
1112,2063,fear,disgust
1113,2073,fear,surprise
1114,2082,fear,sad
1115,208,fear,neutral
1116,2110,fear,angry
1117,2116,fear,angry
1118,2125,fear,sad
1119,2126,fear,sad
1120,2135,fear,fear
1121,2137,fear,fear
1122,2138,fear,fear
1123,213,fear,fear
1124,2144,fear,surprise
1125,2145,fear,fear
1126,2155,fear,surprise
1127,215,fear,fear
1128,2166,fear,disgust
1129,2178,fear,fear
1130,2180,fear,neutral
1131,2193,fear,angry
1132,2233,fear,fear
1133,2235,fear,fear
1134,2254,fear,fear
1135,2262,fear,surprise
1136,2263,fear,fear
1137,2275,fear,neutral
1138,2279,fear,angry
1139,227,fear,fear
1140,2284,fear,fear
1141,2356,fear,fear
1142,2365,fear,sad
1143,2366,fear,fear
1144,2377,fear,fear
1145,2380,fear,surprise
1146,23,fear,fear
1147,2400,fear,angry
1148,2424,fear,fear
1149,2425,fear,fear
1150,2426,fear,angry
1151,2439,fear,surprise
1152,2447,fear,surprise
1153,2456,fear,fear
1154,2467,fear,fear
1155,2480,fear,fear
1156,2493,fear,fear
1157,2494,fear,sad
1158,2496,fear,surprise
1159,2511,fear,sad
1160,2512,fear,fear
1161,2526,fear,neutral
1162,2541,fear,angry
1163,2559,fear,fear
1164,2574,fear,neutral
1165,2578,fear,fear
1166,2582,fear,neutral
1167,2597,fear,surprise
1168,25,fear,neutral
1169,265,fear,fear
1170,2671,fear,angry
1171,2673,fear,surprise
1172,2685,fear,surprise
1173,2691,fear,fear
1174,2706,fear,fear
1175,2708,fear,surprise
1176,2726,fear,surprise
1177,2740,fear,fear
1178,2741,fear,surprise
1179,2748,fear,fear
