,Imagem,FEX-esperada,FEX-detectada
278,4381,angry,angry
279,4402,angry,disgust
280,4403,angry,surprise
281,4415,angry,angry
282,4420,angry,neutral
283,4422,angry,angry
284,4432,angry,angry
285,4482,angry,neutral
286,4486,angry,happy
287,4487,angry,disgust
288,4507,angry,surprise
289,4513,angry,angry
290,4521,angry,sad
291,453,angry,disgust
292,4541,angry,surprise
293,4552,angry,disgust
294,4557,angry,neutral
295,4580,angry,angry
296,4644,angry,angry
297,4651,angry,disgust
298,4664,angry,fear
299,4676,angry,angry
300,4699,angry,angry
301,4729,angry,happy
302,4779,angry,angry
303,4788,angry,neutral
304,4794,angry,disgust
305,4806,angry,angry
306,4813,angry,disgust
307,4816,angry,angry
308,4840,angry,sad
309,4842,angry,happy
310,4849,angry,neutral
311,4890,angry,angry
312,4896,angry,angry
313,4898,angry,neutral
314,4901,angry,angry
315,4902,angry,sad
316,4915,angry,angry
317,4938,angry,angry
318,4958,angry,angry
319,4969,angry,angry
320,4973,angry,angry
321,5019,angry,angry
322,5025,angry,neutral
323,502,angry,neutral
324,5033,angry,neutral
325,5044,angry,neutral
326,5047,angry,fear
327,5050,angry,surprise
328,5067,angry,sad
329,506,angry,angry
330,5080,angry,angry
331,5082,angry,angry
332,5096,angry,angry
333,5097,angry,disgust
334,5107,angry,angry
335,5109,angry,disgust
336,5119,angry,neutral
337,5123,angry,sad
338,5151,angry,angry
339,5169,angry,neutral
340,5182,angry,angry
341,5202,angry,neutral
342,5210,angry,disgust
343,5219,angry,angry
344,5221,angry,angry
345,5316,angry,sad
346,532,angry,disgust
347,5347,angry,angry
348,5351,angry,happy
349,5356,angry,angry
350,5363,angry,neutral
351,5364,angry,angry
352,536,angry,angry
353,5372,angry,angry
354,5384,angry,angry
355,5408,angry,angry
356,541,angry,angry
357,5434,angry,surprise
358,5441,angry,angry
359,5465,angry,angry
360,5490,angry,angry
361,5492,angry,angry
362,559,angry,happy
363,569,angry,angry
364,588,angry,angry
365,592,angry,surprise
366,599,angry,surprise
367,608,angry,happy
368,628,angry,disgust
369,644,angry,neutral
370,655,angry,happy
371,690,angry,sad
372,715,angry,surprise
373,718,angry,neutral
374,739,angry,surprise
375,740,angry,neutral
376,747,angry,angry
377,804,angry,angry
378,807,angry,neutral
379,810,angry,angry
380,846,angry,happy
381,852,angry,neutral
382,859,angry,angry
383,864,angry,fear
384,873,angry,neutral
385,882,angry,disgust
386,886,angry,angry
387,890,angry,angry
388,8,angry,angry
389,919,angry,angry
390,921,angry,neutral
391,940,angry,angry
392,946,angry,disgust
393,963,angry,angry
394,966,angry,neutral
395,967,angry,angry
396,975,angry,angry
397,980,angry,angry
398,996,angry,disgust
399,1003,disgust,angry
400,1018,disgust,fear
401,1062,disgust,surprise
402,1071,disgust,disgust
403,1130,disgust,angry
404,1153,disgust,disgust
405,1168,disgust,disgust
406,1183,disgust,surprise
407,1190,disgust,disgust
408,1194,disgust,neutral
409,1210,disgust,disgust
410,1211,disgust,surprise
411,1212,disgust,sad
412,1223,disgust,happy
413,1241,disgust,disgust
414,1247,disgust,disgust
415,1253,disgust,disgust
416,1260,disgust,sad
417,1262,disgust,disgust
418,1274,disgust,angry
419,1278,disgust,disgust
420,1283,disgust,disgust
421,1312,disgust,neutral
422,1313,disgust,happy
423,1317,disgust,sad
424,1324,disgust,disgust
425,1368,disgust,disgust
426,1372,disgust,neutral
427,1377,disgust,fear
428,1396,disgust,neutral
429,1397,disgust,neutral
430,142,disgust,happy
431,144,disgust,disgust
432,1457,disgust,disgust
433,145,disgust,angry
434,1487,disgust,disgust
435,148,disgust,disgust
436,1494,disgust,disgust
437,1498,disgust,disgust
438,1499,disgust,happy
439,1511,disgust,angry
440,1534,disgust,sad
441,1546,disgust,neutral
442,1552,disgust,neutral
443,1555,disgust,angry
444,1571,disgust,disgust
445,1584,disgust,sad
446,1592,disgust,disgust
447,1616,disgust,angry
448,1654,disgust,disgust
449,166,disgust,neutral
450,1670,disgust,neutral
451,1702,disgust,disgust
452,1705,disgust,neutral
453,1713,disgust,sad
454,1755,disgust,disgust
455,1766,disgust,angry
456,1785,disgust,surprise
457,178,disgust,surprise
458,1795,disgust,angry
459,1796,disgust,surprise
460,1799,disgust,disgust
461,1818,disgust,disgust
462,1822,disgust,happy
463,1853,disgust,angry
464,1882,disgust,disgust
465,1915,disgust,disgust
466,1951,disgust,disgust
467,1957,disgust,sad
468,1966,disgust,neutral
469,1969,disgust,disgust
470,2002,disgust,neutral
471,2018,disgust,disgust
472,2024,disgust,neutral
473,2029,disgust,disgust
474,2030,disgust,disgust
475,2035,disgust,disgust
476,2038,disgust,happy
477,2040,disgust,happy
478,2043,disgust,disgust
479,2050,disgust,surprise
480,2052,disgust,angry
481,206,disgust,happy
482,2074,disgust,angry
483,2107,disgust,disgust
484,2118,disgust,angry
485,2120,disgust,happy
486,2123,disgust,happy
487,2128,disgust,sad
488,2129,disgust,happy
489,2146,disgust,disgust
490,2150,disgust,happy
491,2165,disgust,angry
492,2186,disgust,disgust
493,2190,disgust,disgust
494,2211,disgust,disgust
495,2231,disgust,disgust
496,2244,disgust,disgust
497,2251,disgust,happy
498,2289,disgust,neutral
499,2307,disgust,disgust
500,2324,disgust,disgust
501,2325,disgust,disgust
502,2341,disgust,angry
503,2369,disgust,disgust
504,2371,disgust,angry
505,238,disgust,neutral
506,2395,disgust,surprise
507,2423,disgust,angry
508,2444,disgust,disgust
509,2461,disgust,disgust
510,246,disgust,happy
511,2485,disgust,sad
512,2488,disgust,disgust
513,2491,disgust,disgust
514,2503,disgust,happy
515,2519,disgust,disgust
516,2524,disgust,disgust
517,2528,disgust,disgust
518,2545,disgust,disgust
519,2552,disgust,disgust
520,2569,disgust,disgust
521,2602,disgust,disgust
522,2623,disgust,angry
523,2644,disgust,angry
524,2655,disgust,angry
525,2700,disgust,disgust
526,2710,disgust,sad
527,2722,disgust,sad
528,2725,disgust,disgust
529,2727,disgust,sad
530,2728,disgust,angry
531,2739,disgust,sad
532,2743,disgust,angry
533,2751,disgust,disgust
534,2770,disgust,disgust
535,2773,disgust,disgust
536,2795,disgust,happy
537,2800,disgust,disgust
538,2802,disgust,angry
539,2814,disgust,sad
540,2817,disgust,angry
541,2846,disgust,angry
542,2854,disgust,disgust
543,2867,disgust,disgust
544,2869,disgust,happy
545,286,disgust,neutral
546,2877,disgust,disgust
547,2878,disgust,disgust
548,289,disgust,disgust
549,2910,disgust,neutral
550,2919,disgust,disgust
551,2923,disgust,disgust
552,2925,disgust,angry
553,2952,disgust,angry
554,2954,disgust,angry
555,295,disgust,sad
556,2963,disgust,disgust
557,2973,disgust,angry
558,2992,disgust,neutral
559,2993,disgust,angry
560,3005,disgust,disgust
561,300,disgust,sad
562,3015,disgust,disgust
563,3021,disgust,disgust
564,3025,disgust,angry
565,303,disgust,angry
566,305,disgust,disgust
567,3074,disgust,angry
568,307,disgust,neutral
569,3081,disgust,disgust
570,3094,disgust,disgust
571,309,disgust,disgust
572,3110,disgust,disgust
573,3124,disgust,sad
574,3126,disgust,sad
575,3160,disgust,angry
576,3170,disgust,sad
577,318,disgust,surprise
578,3239,disgust,sad
579,3243,disgust,happy
580,3248,disgust,disgust
581,3255,disgust,sad
582,3263,disgust,disgust
583,3271,disgust,disgust
584,3272,disgust,disgust
585,3284,disgust,neutral
586,328,disgust,surprise
587,3311,disgust,disgust
588,3323,disgust,disgust
589,3334,disgust,disgust
590,3355,disgust,disgust
591,3368,disgust,sad
592,3382,disgust,disgust
593,338,disgust,surprise
594,3402,disgust,happy
595,3414,disgust,disgust
596,3455,disgust,disgust
597,3458,disgust,neutral
598,3497,disgust,neutral
599,3535,disgust,disgust
600,353,disgust,disgust
601,3551,disgust,disgust
602,355,disgust,disgust
603,3570,disgust,neutral
604,3576,disgust,sad
605,3578,disgust,neutral
606,3579,disgust,angry
607,363,disgust,surprise
608,3664,disgust,disgust
609,366,disgust,disgust
610,3673,disgust,angry
611,3675,disgust,fear
612,3682,disgust,disgust
613,3684,disgust,sad
614,3702,disgust,angry
615,3707,disgust,sad
616,370,disgust,angry
617,3713,disgust,disgust
618,3725,disgust,sad
619,3741,disgust,disgust
620,3754,disgust,surprise
621,3762,disgust,disgust
622,381,disgust,disgust
623,3822,disgust,disgust
624,3873,disgust,disgust
625,3884,disgust,angry
626,38,disgust,fear
627,3902,disgust,sad
628,3933,disgust,sad
629,3939,disgust,angry
630,3940,disgust,disgust
631,3964,disgust,disgust
632,398,disgust,happy
633,399,disgust,neutral
634,4001,disgust,disgust
635,4035,disgust,disgust
636,4054,disgust,neutral
637,4068,disgust,disgust
638,406,disgust,sad
639,4074,disgust,surprise
640,4075,disgust,happy
641,4076,disgust,disgust
642,4084,disgust,disgust
643,4106,disgust,disgust
644,4111,disgust,angry
645,4112,disgust,neutral
646,4120,disgust,sad
647,4123,disgust,disgust
648,4128,disgust,happy
649,4151,disgust,neutral
650,4158,disgust,happy
651,4161,disgust,happy
652,4170,disgust,disgust
653,4179,disgust,disgust
654,4185,disgust,disgust
655,4204,disgust,disgust
656,4219,disgust,disgust
657,424,disgust,angry
658,4256,disgust,disgust
659,4261,disgust,disgust
660,4268,disgust,sad
661,4269,disgust,angry
662,429,disgust,disgust
663,4306,disgust,angry
664,4314,disgust,happy
665,4315,disgust,sad
666,4340,disgust,disgust
667,434,disgust,happy
668,4361,disgust,disgust
669,4367,disgust,disgust
670,4371,disgust,sad
671,4383,disgust,disgust
672,4387,disgust,happy
673,4388,disgust,sad
674,4427,disgust,sad
675,4435,disgust,neutral
676,4444,disgust,neutral
677,4450,disgust,disgust
678,4453,disgust,disgust
679,4460,disgust,sad
680,4473,disgust,angry
681,4478,disgust,disgust
682,4489,disgust,sad
683,4504,disgust,disgust
684,4523,disgust,happy
685,4534,disgust,disgust
686,4538,disgust,sad
687,455,disgust,disgust
688,4569,disgust,disgust
689,4577,disgust,angry
690,459,disgust,disgust
691,4642,disgust,disgust
692,4663,disgust,angry
693,4665,disgust,disgust
694,466,disgust,disgust
695,467,disgust,surprise
696,468,disgust,happy
697,469,disgust,sad
698,4727,disgust,disgust
699,4728,disgust,sad
700,4734,disgust,disgust
701,474,disgust,angry
702,4755,disgust,disgust
703,4757,disgust,disgust
704,4767,disgust,happy
705,4772,disgust,disgust
706,4815,disgust,disgust
707,4823,disgust,happy
708,4825,disgust,happy
709,4827,disgust,neutral
710,4853,disgust,neutral
711,4860,disgust,neutral
712,4864,disgust,sad
713,4872,disgust,neutral
714,4879,disgust,disgust
715,4880,disgust,disgust
716,4882,disgust,surprise
717,4883,disgust,disgust
718,4910,disgust,angry
719,4946,disgust,neutral
720,4951,disgust,disgust
721,4957,disgust,disgust
722,4963,disgust,neutral
723,4979,disgust,disgust
724,497,disgust,neutral
725,4994,disgust,surprise
726,5004,disgust,disgust
727,5009,disgust,disgust
728,5017,disgust,neutral
729,5020,disgust,disgust
730,5024,disgust,disgust
731,5042,disgust,neutral
732,5069,disgust,sad
733,5083,disgust,fear
734,510,disgust,angry
735,5136,disgust,sad
736,5143,disgust,disgust
737,5154,disgust,disgust
738,5156,disgust,disgust
739,5157,disgust,neutral
740,5172,disgust,surprise
741,5173,disgust,disgust
742,5186,disgust,disgust
743,5200,disgust,angry
744,5227,disgust,disgust
745,5244,disgust,disgust
746,5255,disgust,neutral
747,5266,disgust,disgust
748,5274,disgust,disgust
749,530,disgust,disgust
750,5332,disgust,sad
751,5336,disgust,disgust
752,5343,disgust,sad
753,5349,disgust,surprise
754,5354,disgust,disgust
755,5365,disgust,disgust
756,5367,disgust,disgust
757,5371,disgust,disgust
758,5374,disgust,angry
759,5385,disgust,angry
760,539,disgust,disgust
761,5406,disgust,disgust
762,5426,disgust,neutral
763,5437,disgust,disgust
764,5442,disgust,sad
765,5456,disgust,angry
766,5457,disgust,angry
767,5474,disgust,angry
768,5479,disgust,disgust
769,5486,disgust,disgust
770,5487,disgust,fear
771,560,disgust,neutral
772,568,disgust,disgust
773,579,disgust,sad
774,591,disgust,disgust
775,601,disgust,angry
776,617,disgust,disgust
777,626,disgust,surprise
778,642,disgust,disgust
779,64,disgust,angry
780,65,disgust,neutral
781,666,disgust,sad
782,685,disgust,sad
783,700,disgust,disgust
784,702,disgust,disgust
785,70,disgust,disgust
786,712,disgust,disgust
787,748,disgust,happy
788,752,disgust,angry
789,758,disgust,angry
790,776,disgust,disgust
791,787,disgust,sad
792,789,disgust,sad
793,792,disgust,disgust
794,798,disgust,happy
795,814,disgust,angry
796,818,disgust,happy
797,825,disgust,angry
798,837,disgust,disgust
799,845,disgust,disgust
800,854,disgust,disgust
801,861,disgust,neutral
802,885,disgust,fear
803,899,disgust,disgust
804,902,disgust,angry
805,907,disgust,disgust
806,931,disgust,surprise
807,944,disgust,disgust
808,950,disgust,neutral
809,962,disgust,disgust
810,976,disgust,sad
811,977,disgust,disgust
812,1002,fear,fear
813,1011,fear,fear
814,1030,fear,disgust
815,1033,fear,neutral
816,1048,fear,surprise
817,1060,fear,fear
818,1092,fear,sad
819,113,fear,surprise
820,1143,fear,fear
821,1144,fear,neutral
822,1145,fear,sad
823,1151,fear,sad
824,1152,fear,neutral
825,1157,fear,fear
826,1170,fear,angry
827,1172,fear,disgust
828,1174,fear,fear
829,1193,fear,disgust
830,1204,fear,sad
831,121,fear,sad
832,1256,fear,neutral
833,1268,fear,sad
834,1269,fear,neutral
835,1294,fear,fear
836,1306,fear,fear
837,1307,fear,sad
838,1308,fear,fear
839,1351,fear,fear
840,1352,fear,fear
841,1363,fear,fear
842,1376,fear,disgust
843,1403,fear,surprise
844,1419,fear,sad
845,1430,fear,fear
846,1439,fear,neutral
847,1442,fear,sad
848,1445,fear,surprise
849,1453,fear,fear
850,1465,fear,surprise
851,1478,fear,sad
852,1486,fear,sad
853,1496,fear,surprise
854,1500,fear,sad
855,1507,fear,surprise
856,1515,fear,angry
857,1520,fear,sad
858,1529,fear,surprise
859,1535,fear,fear
860,1557,fear,fear
861,155,fear,happy
862,1588,fear,disgust
863,1595,fear,sad
864,1598,fear,fear
865,162,fear,fear
866,1641,fear,happy
867,1649,fear,surprise
868,1657,fear,neutral
869,1659,fear,surprise
870,1687,fear,neutral
871,1699,fear,neutral
872,1704,fear,surprise
873,1746,fear,fear
874,175,fear,disgust
875,1762,fear,surprise
876,1763,fear,surprise
877,1772,fear,angry
878,177,fear,sad
879,1780,fear,surprise
880,1787,fear,surprise
881,1794,fear,disgust
882,17,fear,fear
883,1809,fear,fear
884,181,fear,surprise
885,1826,fear,fear
886,1833,fear,sad
887,1834,fear,sad
888,1840,fear,fear
889,1841,fear,fear
890,1845,fear,fear
891,1854,fear,fear
892,1897,fear,happy
893,1943,fear,fear
894,1947,fear,disgust
895,1956,fear,neutral
896,1964,fear,neutral
897,1985,fear,sad
898,2004,fear,fear
899,204,fear,fear
900,2063,fear,disgust
901,2073,fear,surprise
902,208,fear,disgust
903,2110,fear,fear
904,2116,fear,angry
905,2125,fear,sad
906,2126,fear,neutral
907,2135,fear,fear
908,2137,fear,disgust
909,2138,fear,surprise
910,213,fear,fear
911,2144,fear,angry
912,2145,fear,fear
913,2155,fear,surprise
914,215,fear,fear
915,2178,fear,fear
916,2180,fear,neutral
917,2193,fear,surprise
918,2233,fear,fear
919,2254,fear,surprise
920,2262,fear,surprise
921,2263,fear,fear
922,2275,fear,angry
923,2279,fear,fear
924,227,fear,surprise
925,2284,fear,fear
926,2356,fear,fear
927,2365,fear,sad
928,2377,fear,fear
929,2424,fear,fear
930,2425,fear,surprise
931,2426,fear,surprise
932,2439,fear,surprise
933,2447,fear,surprise
934,2456,fear,fear
935,2496,fear,surprise
936,2512,fear,fear
937,2526,fear,sad
938,2541,fear,angry
939,2559,fear,fear
940,2578,fear,fear
941,2582,fear,neutral
942,25,fear,neutral
943,265,fear,fear
944,2671,fear,fear
945,2673,fear,surprise
946,2685,fear,surprise
947,2691,fear,fear
948,2706,fear,fear
949,2726,fear,surprise
950,2740,fear,fear
951,2741,fear,surprise
952,2753,fear,surprise
953,2790,fear,disgust
954,2791,fear,surprise
955,2793,fear,disgust
956,2798,fear,neutral
957,2810,fear,fear
958,282,fear,sad
959,2833,fear,fear
960,2835,fear,sad
961,2852,fear,surprise
962,2859,fear,fear
963,2876,fear,neutral
964,2902,fear,surprise
965,2912,fear,surprise
966,2939,fear,happy
967,2940,fear,sad
968,2998,fear,surprise
969,299,fear,disgust
970,2,fear,surprise
971,3017,fear,fear
972,3039,fear,surprise
973,3047,fear,fear
974,3049,fear,sad
975,3114,fear,fear
976,3125,fear,sad
977,312,fear,happy
978,3134,fear,fear
979,3143,fear,surprise
980,3164,fear,fear
981,3168,fear,surprise
982,316,fear,sad
983,3190,fear,surprise
984,3196,fear,fear
985,3221,fear,surprise
986,3224,fear,neutral
987,3265,fear,surprise
988,3278,fear,surprise
989,3301,fear,surprise
990,3303,fear,fear
991,3314,fear,fear
992,3352,fear,surprise
993,3362,fear,fear
994,3363,fear,surprise
995,3372,fear,fear
996,3373,fear,surprise
997,3386,fear,fear
998,3404,fear,fear
999,341,fear,sad
1000,3425,fear,fear
1001,3427,fear,fear
1002,3435,fear,neutral
1003,3440,fear,fear
1004,3448,fear,surprise
1005,3460,fear,fear
1006,3463,fear,angry
1007,3466,fear,surprise
1008,3478,fear,surprise
1009,3501,fear,surprise
1010,3512,fear,sad
1011,3513,fear,surprise
1012,3517,fear,angry
1013,3521,fear,surprise
1014,3542,fear,fear
1015,3544,fear,surprise
1016,3548,fear,disgust
1017,3583,fear,fear
1018,3597,fear,neutral
1019,3608,fear,surprise
1020,3627,fear,fear
1021,3670,fear,sad
1022,3672,fear,happy
1023,3679,fear,fear
1024,3698,fear,surprise
1025,3711,fear,sad
1026,3728,fear,angry
1027,3748,fear,surprise
1028,3751,fear,angry
1029,3767,fear,surprise
1030,3791,fear,fear
1031,3804,fear,fear
1032,3831,fear,surprise
1033,3839,fear,fear
1034,385,fear,fear
1035,3866,fear,sad
1036,3874,fear,sad
1037,3875,fear,surprise
1038,3883,fear,sad
1039,3886,fear,fear
1040,3888,fear,surprise
1041,3927,fear,surprise
1042,394,fear,disgust
1043,3954,fear,surprise
1044,400,fear,fear
1045,4034,fear,surprise
1046,403,fear,angry
1047,4050,fear,surprise
1048,4055,fear,neutral
1049,4086,fear,sad
1050,4088,fear,fear
1051,4137,fear,sad
1052,4143,fear,surprise
1053,4150,fear,neutral
1054,4166,fear,surprise
1055,4181,fear,surprise
1056,419,fear,fear
1057,4203,fear,happy
1058,421,fear,angry
1059,4222,fear,sad
1060,4228,fear,surprise
1061,4239,fear,sad
1062,4250,fear,fear
1063,4263,fear,neutral
1064,4274,fear,fear
1065,4307,fear,disgust
1066,4333,fear,fear
1067,4344,fear,fear
1068,4349,fear,surprise
1069,4358,fear,angry
1070,4363,fear,fear
1071,4377,fear,fear
1072,4389,fear,fear
1073,4390,fear,surprise
1074,4400,fear,fear
1075,4416,fear,sad
1076,4424,fear,surprise
1077,4448,fear,fear
1078,4469,fear,fear
1079,4495,fear,happy
1080,4496,fear,surprise
1081,449,fear,fear
1082,4509,fear,neutral
1083,4514,fear,surprise
1084,4516,fear,surprise
1085,4547,fear,neutral
1086,4550,fear,surprise
1087,4596,fear,fear
1088,4603,fear,surprise
1089,4607,fear,neutral
1090,4625,fear,disgust
1091,4673,fear,fear
1092,4703,fear,fear
1093,471,fear,fear
1094,472,fear,surprise
1095,4735,fear,sad
1096,4744,fear,happy
1097,4749,fear,fear
1098,4764,fear,fear
1099,4769,fear,fear
1100,4800,fear,neutral
1101,4807,fear,surprise
1102,4878,fear,happy
1103,4884,fear,neutral
1104,4895,fear,fear
1105,4924,fear,surprise
1106,4942,fear,fear
1107,4947,fear,fear
1108,4955,fear,fear
1109,4959,fear,fear
1110,4966,fear,fear
1111,4975,fear,surprise
1112,4976,fear,fear
1113,4983,fear,sad
1114,4991,fear,happy
1115,5021,fear,surprise
1116,5022,fear,surprise
1117,503,fear,surprise
1118,5040,fear,sad
1119,5052,fear,sad
1120,5055,fear,disgust
1121,5063,fear,fear
1122,5070,fear,surprise
1123,5074,fear,sad
1124,5077,fear,fear
1125,5103,fear,happy
1126,5116,fear,fear
1127,5121,fear,fear
1128,5139,fear,fear
1129,5145,fear,surprise
1130,5146,fear,surprise
1131,5153,fear,fear
1132,5168,fear,fear
1133,5195,fear,surprise
1134,5198,fear,surprise
1135,5199,fear,fear
1136,5232,fear,fear
1137,5237,fear,surprise
1138,5238,fear,surprise
1139,5239,fear,surprise
1140,5250,fear,fear
1141,529,fear,surprise
1142,5303,fear,surprise
1143,5315,fear,fear
1144,5318,fear,surprise
1145,5320,fear,surprise
1146,5341,fear,sad
1147,5344,fear,fear
1148,5383,fear,surprise
1149,5391,fear,surprise
1150,5394,fear,sad
1151,5407,fear,fear
1152,5415,fear,surprise
1153,5448,fear,surprise
1154,5453,fear,sad
1155,5480,fear,sad
1156,554,fear,surprise
1157,565,fear,fear
1158,580,fear,sad
1159,587,fear,fear
1160,597,fear,surprise
1161,598,fear,happy
1162,605,fear,surprise
1163,606,fear,sad
1164,622,fear,fear
1165,638,fear,fear
1166,679,fear,fear
1167,680,fear,neutral
1168,682,fear,angry
1169,691,fear,surprise
1170,695,fear,fear
1171,697,fear,neutral
1172,714,fear,sad
1173,716,fear,sad
1174,722,fear,surprise
1175,745,fear,fear
1176,782,fear,happy
1177,783,fear,fear
1178,805,fear,sad
1179,821,fear,neutral
1180,82,fear,fear
1181,863,fear,surprise
